date,post_category,post_type,video_duration,carousel_item_count,impressions,reach,shares,follows,likes,comments,saves
2023-01-01,Mobile,"IG Image",0,0,78394,28049,455,521,2221,48,280
2023-01-02,Mobile,"IG Image",0,0,64532,22709,145,248,1260,51,189
2023-01-03,Mobile,"IG Reel",50,0,127666,61142,659,2069,4488,92,1151
2023-01-04,Mobile,"IG Carousel",0,2,5094,1202,8,33,51,3,8
2023-01-05,Smartwatch,"IG Carousel",0,5,7404,1384,32,40,64,1,10
2023-01-06,Smartwatch,"IG Image",0,0,65854,23150,153,521,2132,47,83
2023-01-07,Earphone,"IG Image",0,0,72252,29082,381,744,2225,29,134
2023-01-08,Mobile,"IG Image",0,0,60638,16516,173,491,1492,24,65
2023-01-09,Mobile,"IG Image",0,0,78591,34532,217,681,1846,87,281
2023-01-10,Mobile,"IG Image",0,0,64207,24524,471,326,1873,54,238
2023-01-11,Mobile,"IG Video",176,0,45343,19897,261,483,1392,47,99
2023-01-12,Mobile,"IG Carousel",0,3,8059,1512,40,19,40,2,12
2023-01-13,Mobile,"IG Carousel",0,4,6885,1499,2,36,33,0,8
2023-01-14,Mobile,"IG Video",295,0,31654,8474,149,198,514,11,42
2023-01-15,Mobile,"IG Carousel",0,2,9677,2083,27,41,67,1,17
2023-01-16,Mobile,"IG Video",203,0,33219,11822,181,291,989,35,59
2023-01-17,Mobile,"IG Carousel",0,3,5806,651,24,17,15,0,5
2023-01-18,Mobile,"IG Image",0,0,64593,21598,198,324,2077,41,192
2023-01-19,Smartwatch,"IG Carousel",0,5,9508,1137,37,24,23,0,10
2023-01-20,Mobile,"IG Carousel",0,3,6936,924,23,13,30,0,6
2023-01-21,Smartwatch,"IG Video",134,0,35586,11256,137,215,801,33,56
2023-01-22,Smartwatch,"IG Video",178,0,46422,19287,292,266,1174,22,96
2023-01-23,Mobile,"IG Reel",17,0,148217,68574,1112,843,5432,138,1805
2023-01-24,Mobile,"IG Image",0,0,65158,17031,215,460,910,19,151
2023-01-25,Earphone,"IG Image",0,0,73230,20063,368,299,1600,45,107
2023-01-26,Mobile,"IG Video",200,0,48251,18881,318,287,1576,31,94
2023-01-27,Mobile,"IG Image",0,0,68703,22614,341,362,1488,57,58
2023-01-28,Mobile,"IG Video",222,0,40034,16225,233,195,1247,33,81
2023-01-29,Smartwatch,"IG Carousel",0,2,6085,1744,77,48,54,1,16
2023-01-30,Mobile,"IG Reel",32,0,146107,57092,1128,2414,4365,133,1077
2023-01-31,Smartwatch,"IG Carousel",0,2,5848,1683,13,21,39,3,11
2023-02-01,Smartwatch,"IG Reel",46,0,147575,79546,551,2737,4407,179,1327
2023-02-02,Earphone,"IG Reel",35,0,132961,70563,1206,1617,6278,150,1151
2023-02-03,Smartwatch,"IG Reel",28,0,144094,60380,914,1148,5315,132,725
2023-02-04,Smartwatch,"IG Carousel",0,5,4396,660,10,16,25,1,5
2023-02-05,Mobile,"IG Carousel",0,4,3584,716,26,7,36,2,6
2023-02-06,Earphone,"IG Carousel",0,5,4690,1010,17,14,47,0,10
2023-02-07,Mobile,"IG Video",208,0,16997,8489,95,149,708,24,42
2023-02-08,Mobile,"IG Video",250,0,29149,8975,139,189,533,26,45
2023-02-09,Mobile,"IG Video",161,0,25071,9047,111,122,798,23,45
2023-02-10,Smartwatch,"IG Video",164,0,22051,8173,153,167,553,8,41
2023-02-11,Laptop,"IG Image",0,0,27282,11840,182,132,803,26,50
2023-02-12,Smartwatch,"IG Carousel",0,4,3887,849,42,15,30,1,7
2023-02-13,Mobile,"IG Video",141,0,16925,5005,53,79,355,10,25
2023-02-14,Mobile,"IG Carousel",0,2,3788,832,11,22,20,1,8
2023-02-15,Mobile,"IG Video",121,0,11041,4283,74,109,349,12,21
2023-02-16,Mobile,"IG Video",270,0,24027,9259,163,201,870,26,46
2023-02-17,Mobile,"IG Image",0,0,26719,10392,162,216,559,29,29
2023-02-18,Laptop,"IG Video",263,0,9604,3487,55,62,276,9,17
2023-02-19,Smartwatch,"IG Carousel",0,3,4571,1080,51,18,41,0,6
2023-02-20,Earphone,"IG Video",224,0,8741,2296,42,34,214,4,11
2023-02-21,Earphone,"IG Image",0,0,23367,6116,119,103,383,14,45
2023-02-22,Mobile,"IG Reel",55,0,141632,47309,266,932,2717,77,305
2023-02-23,Mobile,"IG Reel",41,0,134184,62495,869,1010,3942,177,637
2023-02-24,Laptop,"IG Reel",51,0,105868,46247,268,1632,2900,84,357
2023-02-25,Mobile,"IG Video",286,0,9222,4334,48,90,406,12,22
2023-02-26,Smartwatch,"IG Image",0,0,27599,9085,48,123,627,23,63
2023-02-27,Earphone,"IG Carousel",0,2,3416,815,14,23,29,1,7
2023-02-28,Mobile,"IG Video",227,0,21728,5937,110,101,349,16,30
2023-03-01,Mobile,"IG Carousel",0,3,8382,1466,4,15,55,4,8
2023-03-02,Smartwatch,"IG Image",0,0,74161,28930,157,386,2689,56,184
2023-03-03,Laptop,"IG Image",0,0,66472,24090,125,683,1211,37,220
2023-03-04,Earphone,"IG Video",291,0,12265,3668,69,92,327,7,18
2023-03-05,Smartwatch,"IG Image",0,0,62770,18001,273,360,1194,28,76
